#{"t_start": 1622736550.1153162, "env_id": "AntEnv-v6"}
r,l,t,reward_velocity,reward_rotation,reward_position,reward,reward_ctrl,reward_orientation,reward_motion,reward_contact,reward_torque
-1004.293941,105,3.121705,-0.14896971944426085,-2.2486191534096385,0.2565696795219463,-20.823972183827237,-3.764697777453984,-0.3075339196396032,-0.1,-0.0,-0.6023539705547505
-6612.424661,303,3.729272,-0.5688068194077697,-3.1659718284715987,-3.1054027473096375,-38.48573394974213,-1.2439830808191554,-0.7563507918360362,-0.1,-0.0,-0.1992063638982215
-12468.198291,436,4.603578,0.05329343781514445,-2.3305938020632975,2.419714496969498,-35.56084646612644,-2.3682922628392538,-0.8126560536487312,-0.1,-0.0,-0.37895230710482575
-47844.371108,590,6.91267,0.4201816597118256,-0.8556676962578347,-8.758065715575697,-215.3457295623866,-1.0181971513372707,-0.5307317934812387,-0.1,-0.0,-0.16299264216415632
-288059.565752,1024,10.125026,0.023781958532841346,-2.254409895770315,-21.817501170074607,-701.3960370690754,-2.5232848281562466,-0.9562672493604256,0.5836243727382285,-1.1000255689306855,-0.40376208426230026
-173858.749591,1024,13.338515,0.12849075906780186,-5.824677216678392,-17.60026485377727,-466.8564205692265,-3.152555150115873,-0.9952429431730505,0.554529012481556,-1.0516841943291642,-0.5044468597491094
-54286.58775,1024,16.552024,0.04339818166026607,-0.7308565598153216,-7.8966452302954995,-104.88054120237683,-3.9473862628165737,-0.9999609277677319,0.270985537036809,-0.3526675082270262,-0.6316345436215245
-149978.455147,1024,19.761299,-0.17459498755130304,-0.5902783449421297,-17.47841739964103,-375.89125288481205,-6.801109307692949,-0.9881223141117514,0.5284279835590745,-0.0,-1.0882228517166546
-478.81577,33,19.827291,0.22746857371538393,-2.0679908602726833,0.637941559464061,-57.94852213349605,-0.870509557847584,-0.40934602025459743,-0.1,-0.6,-0.13930069840514106
-42349.727277,517,20.917565,0.1551202486575918,-0.6512308031941101,-8.670763562973248,-174.38181767003974,-1.4409875024056413,-0.36513795358820855,-0.1,-0.0,-0.23062365729877157
