#{"t_start": 1622898457.3694942, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_position,reward_motion,reward_torque,reward_velocity,reward_contact
110.309662,128,6.561028,0.9629462299546885,0.3969020139676725,0.176641583442688,0.0009957764479524012,0.37360813565543105,0.014798720440944596
122.486074,128,10.155869,1.2381223391916256,0.3374094208652269,0.22968820482492447,0.001081807792142682,0.6563120405775065,0.01363086513182501
122.972431,128,13.668762,1.325387979744012,0.41552111737549613,0.14727015793323517,0.0011964250767522073,0.7508512518220637,0.010549027536464905
130.248314,128,17.249327,1.38168136520327,0.3691668905004814,0.2271830514073372,0.00123490840743926,0.7713063444509953,0.012790170437016702
107.621467,128,20.787305,0.8295211217615371,0.34115809767591376,0.2350541427731514,0.0007159532385961694,0.20535675296660932,0.047236175107266395
114.29325,128,24.345112,0.9373400421827542,0.35681091522185837,0.25,0.0007597695670097159,0.29535476170453007,0.03441459568935597
130.566508,128,27.959496,0.8463727025881175,0.3707760662805158,0.2376970648765564,0.0006848599940876885,0.2042839129537952,0.03293079848316235
129.062053,128,31.57536,1.2528110935190466,0.4591406624615415,0.25,0.001236156055442875,0.5272914726809788,0.015142802321083646
125.154553,128,35.156774,1.17776411511667,0.39893446263725296,0.25,0.001236751384031327,0.5117099385130693,0.0158829625823162
113.673426,128,38.700244,1.1218827879185105,0.4758707010294463,0.25,0.0008139542765470933,0.38690801420974447,0.008290118402772705
136.066528,128,42.344892,1.1830818269783507,0.3746280628759233,0.24306931346654892,0.000820987717212663,0.5467314982732978,0.01783196464536797
120.670052,128,45.876503,0.9904508936958069,0.4094110556099026,0.25,0.0008886552370275247,0.30962231221314884,0.020528870635727805
125.303119,128,49.498103,0.9489429892911494,0.38960552266270343,0.21791334450244904,0.000898389072897752,0.32241170591303975,0.018114027140059455
124.07899,128,53.074582,1.0955906126051114,0.39520114156995484,0.21473168581724167,0.0007689616474588783,0.4654186060775453,0.01947021749291066
130.206359,128,56.658097,1.3466375036589824,0.3774414321495188,0.25,0.0012364007477493905,0.7046894271115955,0.013270243650118686
142.169658,128,60.205034,1.3911290885553498,0.3782048780993285,0.19169452041387558,0.0010554470324812778,0.8099151358900795,0.010259107119585102
120.416541,128,63.721177,1.2970688667512502,0.38712173044033404,0.2472062185406685,0.0007723633163037129,0.6512649850482504,0.01070356940569368
131.284727,128,67.367797,1.3379322861880885,0.3215915731468267,0.23619793355464935,0.0011626821990407758,0.7141900362199736,0.06479006106759821
139.063671,128,70.880364,1.0857432367289122,0.42744743276804203,0.19693265110254288,0.0010702328255364827,0.39641907948648214,0.0638738405463087
121.288742,128,74.469673,1.0494333708006323,0.3525302706435759,0.2444348782300949,0.0010310724511219639,0.410077081581403,0.041360067894436546
123.416704,128,78.031782,0.8900773179869366,0.41357036839849887,0.25,0.0006607222485499729,0.1899210011353246,0.035925226204563225
137.6876,128,81.539652,1.3769555466160297,0.37348525973930996,0.25,0.0012343605951265551,0.7408178079525883,0.011418118329004863
125.13789,128,85.089416,1.1375842806156349,0.42258223671792444,0.23595920205116272,0.0010404097738809061,0.4633590288881152,0.014643403184551764
133.384194,128,88.623447,1.180471523037611,0.3550147368804878,0.2498205080628395,0.0010490747686162346,0.5525038601809046,0.022083343144762915
132.019824,128,92.268808,1.2770798271129618,0.3992615264327692,0.22572214156389236,0.0009847144664633396,0.6387240039824125,0.012387440667424207
139.341452,128,95.877064,1.051182678686652,0.3750146318907111,0.2470163032412529,0.0008175425492743029,0.4098011187514405,0.01853308225397333
