#{"t_start": 1622183512.4277558, "env_id": "AntEnv-v3"}
r,l,t,reward_velocity,reward_yaw,reward_height,reward_position,reward_contact,reward_survive,reward,reward_ctrl
20.649437,37,2.834643,0.00014533763023791835,2.665621945396879e-10,0.09002197980880738,7.924289893708192e-05,-0.0,1.6,0.2867093802936122,-1.4035371803109324
78.528544,118,4.484534,0.14650190770626068,1.873396993090637e-10,0.09982919096946717,1.6618919131475285e-12,-0.0,1.0956944616422215,-0.3846301888405076,-1.7266557493474584
29.601697,34,5.020562,0.1242288038134575,0.053335446119308474,0.07903359532356263,0.04481229297816754,-0.0,1.2870392231041836,-0.04242096621829704,-1.630870327556977
19.836828,29,5.417288,0.0419372096657753,0.0006975487805902958,0.07241273522377015,0.011341965571045876,-0.0,1.6,0.3547044619698498,-1.3716849972713319
18.98522,12,5.599868,0.8886954545974731,0.016300544142723083,0.07371107935905456,0.8513009548187256,-0.0,1.146274690161374,1.9509706706637855,-1.0253120524155648
-237.930628,1000,19.643864,0.0006057909457013012,0.01335834860801697,0.08855932354927064,0.0,-0.003834172578172524,1.3175713703929075,-0.5276340058853153,-1.9438946668030392
-639.544419,1000,63.650574,0.08661162033677101,0.1,0.09819837212562561,0.0,-0.00404340952080177,1.0000000003986647,-0.4704739085268058,-1.7512404918670654
-707.022838,1000,96.247843,0.0037340888287872077,0.09989764094352722,0.08786485195159913,0.0,-0.003957833799558246,1.0000000001548706,-1.0049875924053933,-2.192526340484619
-852.109487,1000,128.368865,0.0001426490693120286,0.1,0.09972068071365357,0.0,-0.00420478757849515,1.0000000000001927,-1.1778565868846922,-2.3735151290893555
-508.840547,1000,161.253706,0.14941887706518173,0.08920408487319947,0.08739148378372193,0.0,-0.00403824449977296,1.000000000014061,-0.1706447437404155,-1.4926209449768066
-587.756197,1000,193.206927,0.005215259129181505,0.09453839063644409,0.0971216380596161,0.0,-0.004155321531213534,1.0000000000844353,-0.9012796578738558,-2.0939996242523193
-511.684236,1000,226.159787,0.0013815317885018886,0.095845365524292,0.09792516827583314,0.0,-0.004369729701768166,1.0000000001663878,-0.6028840267092045,-1.7936663627624512
-799.973243,1000,258.197168,0.002097942586988211,0.1,0.09166966676712036,0.0,-0.004086793509497924,1.0000000000291644,-1.1472859371322062,-2.3369667530059814
-360.863314,1000,290.050486,0.4502520740032196,0.08389844298362732,0.09235278964042665,0.0,-0.0042358276667540905,1.0000000000004725,-0.05992866132831452,-1.6821961402893066
-352.936451,1000,322.496368,0.571100664138794,0.07826783657073975,0.09967475533485413,0.0,-0.0038765606434225577,1.00000000003984,0.07070568832258026,-1.674461007118225
-612.570786,1000,355.189569,0.039966610819101335,0.0986400842666626,0.09564679265022279,0.0,-0.004296151608619578,1.0000000004289418,-0.48345923982918915,-1.713416576385498
-216.769696,1000,369.458964,0.0001173385768197477,0.09938384890556336,0.0735387921333313,0.0,-0.001530736705511349,1.059314274440785,-0.3329345793168239,-1.563758096667812
19.754649,33,369.925385,0.5377856433391571,0.08512223958969117,0.09761714935302734,0.005374134751036763,-0.0,1.6,1.6614356724123396,-0.6644634946205727
18.424497,37,370.452247,2.170665311496123e-07,0.0966190814971924,0.09724432229995728,2.2731726474301082e-14,-0.0029284756961308884,1.6,-0.13988122774334694,-1.9308163729109196
42.764008,133,372.323226,0.00015508484066231176,0.004979214817285538,0.09326477050781251,0.0,-0.0,1.2376018967945601,0.5796638024666032,-0.7563371644937174
15.656244,41,372.895953,0.1865479052066803,1.8811564586940223e-06,0.08983465433120728,1.203879121391971e-10,-0.0,1.6,0.40644294773569056,-1.4699414930790438
-14.086299,1000,387.180515,0.00350904269143939,0.01168074980378151,0.06881663799285889,0.0,-0.001521972948366741,1.6,0.5237876405695638,-1.1586968169701493
65.154568,90,388.476443,0.3145626872777939,0.0411978155374527,0.09955850839614869,3.7214570625110355e-07,-0.0,1.6,1.0039330884000501,-1.0513862949570514
18.020054,50,389.191151,1.99992602574639e-05,0.004115427285432816,0.07650269865989685,6.70275297199026e-27,-0.0,1.4328829897644515,0.5941862413521283,-0.9193348736179103
