#{"t_start": 1622091347.9276774, "env_id": "AntEnv-v2"}
r,l,t,reward_position,reward_contact,reward_survive,reward,forward_vel,reward_ctrl
-29.39791,1000,16.312791,4.813173376821882e-07,-0.0,1.0,-1.3015459398235127,0.18062652066015455,-2.482172941801005
9.351411,25,16.694202,5.573848647551565e-32,-0.0,1.0,0.1311217860442302,0.65460355161016,-1.5234817655659298
83.481458,174,19.274018,3.87476589885605e-28,-0.0,1.0,1.3177310216235316,0.8723381087274852,-0.5546070871039535
62.551606,159,21.647755,6.996518048998514e-07,-0.0,1.0,0.07611790199757293,0.10748172352491178,-1.0313645211791438
50.219717,89,23.035121,0.033386395431810795,-0.0,1.0,2.0768146318585043,2.5,-1.4565717635733064
41.037808,77,24.152747,6.226759801002189e-06,-0.0,1.0,0.11190847527107284,0.8652387479442682,-1.7533364994329965
92.255023,237,27.366083,9.723578527062822e-29,-0.0027701416250978687,1.0,1.225610829381531,1.2861135893408782,-1.057732618334249
58.594919,115,28.866933,1.2403171446939133e-28,-0.0,1.0,-0.17333261609192896,0.6028777427569502,-1.7762103588488791
1.792596,15,29.066801,0.00778142686653065,-0.0,1.0,-0.10602886201759132,0.6294475652470344,-1.7432578541311563
43.532568,100,30.379915,2.1022491723852775e-15,-0.0,1.0,1.3533005966179714,1.161826302458692,-0.8085257058407226
-980.353464,1000,58.304488,4.511890010941699e-30,-0.004457739013472846,1.0,-0.984830281162786,5.9540192298056206e-09,-1.9803725481033325
-972.303254,1000,85.729929,1.8762816311297325e-08,-0.004310953850963387,1.0,-0.9857731746251235,6.821398217137787e-10,-1.9814622402191162
-997.630853,1000,116.466421,5.6173044969438995e-14,-0.004067428922377987,1.0,-1.0031261516927803,6.792485263594051e-10,-1.999058723449707
-1027.649941,1000,147.371794,0.0010940306061604642,-0.00413494492959031,1.0,-1.0335675473133576,5.0410779759195435e-09,-2.030526638031006
-986.420959,1000,177.543451,2.4924549364241863e-11,-0.004360109784250046,1.0,-0.9909395274266714,5.150272758250577e-10,-1.986579418182373
-1034.932567,1000,205.41653,3.213874493475969e-05,-0.004456745570212042,1.0,-1.0413749556902487,9.42767762043251e-10,-2.0369503498077393
-983.475676,1000,233.175618,1.6268293075955579e-18,-0.0044940415535907165,1.0,-0.9867293536445142,3.709294785497748e-10,-1.982235312461853
-1008.116046,1000,264.117843,1.6605943301219837e-08,-0.004123507568122575,1.0,-1.014147079093754,5.7710132604361955e-09,-2.010023593902588
-1021.61793,1000,295.300592,3.2840814651534384e-08,-0.004216627551756034,1.0,-1.028060835689531,1.1173575525681993e-09,-2.0238442420959473
-956.04111,1000,325.388123,1.9489929489977907e-17,-0.004485711210143782,1.0,-0.961758235139589,5.672605443554405e-09,-1.9572725296020508
73.591454,122,327.070185,1.22893478437553e-16,-0.0,1.0,-0.009602119892354044,0.6855549522677337,-1.695157072160088
14.049527,19,327.336439,1.6692678276103977e-25,-0.0,1.0,1.0979426712018112,1.0951476668329492,-0.997204995631138
14.660537,34,327.802242,0.04293322006959704,-0.0,1.0,0.778395437350295,1.2480306188229557,-1.5125684015422578
88.007985,167,330.036803,0.008404038869330234,-0.0028219725840319897,1.0,2.110053443551882,2.5,-1.395528622733416
28.734917,44,330.649833,3.924653983170495e-13,-0.0,1.0,1.1677534805674754,1.143994331197053,-0.9762408506299702
60.647516,1000,343.837056,6.49802031411992e-28,-0.0012238243802233548,1.0,-0.2984895714391029,0.13107381005793411,-1.4283395571168136
12.167571,30,344.222889,4.6490382311745735e-05,-0.0,1.0,0.16959299703169362,0.6886671758688498,-1.5191206692194679
3.872433,22,344.486095,2.094520462268438e-28,-0.0,1.0,0.036122171153084165,0.18629277750230047,-1.1501706063492163
23.024,61,345.219085,5.920453367511688e-16,-0.0,1.0,0.5540309218273807,1.0359069096238913,-1.4818759877965113
72.353817,80,346.218324,2.912774201707409e-06,-0.0,1.0,0.3952517949803883,0.9175591022090767,-1.52231022000289
