#{"t_start": 1622706498.2344296, "env_id": "AntEnv-v5"}
r,l,t,reward_velocity,reward_rotation,reward_position,reward,reward_ctrl,reward_orientation,reward_motion,reward_contact,reward_torque
492.927412,512,3.970932,3.737614161129555,0.0690469198740683,-0.020572603322998484,3.1416070329274772,-0.07978427806686646,-0.012106164607114764,0.26798162934564346,-0.0,-0.5525910020791658
-116.748432,116,4.770544,0.06641865641836216,0.7834780958108192,-0.06216031742246179,-0.13378296348617824,-0.11831608692935153,-0.0013473026789687585,2.3659006603156514,-0.0,-0.8018560086845775
-35.151623,34,4.838043,0.1375893308309823,0.03370456545768356,-0.044227417218477456,-1.1613131959748089,-0.1437332623515304,-0.0003132709258680777,2.230501542384093,-0.0,-1.1443331417675988
-61.00997,45,4.931625,0.8424243274889447,0.5802515096767888,-0.008983875582742853,-1.5346450934352767,-0.14626592647908576,-0.01023847282133582,1.3083806280735528,-0.4556393760864147,-2.336193279631431
-40.627796,33,4.99688,0.36883864496385266,0.0777400556961414,-0.0007371168987473871,-1.865216357252762,-0.08769934249975123,-0.0007463915548191907,1.598520658070732,-0.0,-2.2226122069594383
-78.280003,512,6.605232,3.7410536721179026,0.11606174484207066,-0.10412083375531025,1.2313532969073824,-0.1925830099529545,-0.018720972221056165,0.31795643108199223,-0.4959426763275902,-1.8143946277956802
-272.086867,125,6.856447,0.09478597474237903,1.96111118667042,-0.08791715071316945,-0.16970743171589509,-0.20924014924294052,-0.00019781452302357195,2.146637409347097,-0.0,-1.9282494786495605
-144.310157,58,6.976406,0.5861402219549007,0.0002735717183077317,-0.005782551501961265,-1.0856158469401949,-0.29542435707777437,-0.011295825146748583,2.0402120797624796,-0.0,-1.3595269068869191
-416.579253,192,7.927707,0.4097011607702312,0.006671185106801513,-0.17972007001608983,-3.762594726672,-0.3086169176986568,-0.007172219153726466,2.0689992862298543,-0.0,-3.6834578656805594
-893.635241,512,9.536486,1.4912823910944881,0.06072688480850988,-0.5346879224750114,-0.84052370290265,-0.20603130875468956,-0.019898889898860978,0.7212160206802111,-1.0105491524660022,-0.6213657052110839
-1091.598815,512,11.146809,0.8129455050085072,1.6067011248955647,-1.3770400850373625,-2.332987834232598,-0.0683116618250001,-0.018769337103556504,0.6268036495566551,-0.5802854835465311,-2.7082278966242193
