#{"t_start": 1621989758.9524214, "env_id": "AntEnv-v1"}
r,l,t,reward_forward,reward_sideways,reward_height,reward_rotation,reward_contact,reward_survive,reward,forward_vel,reward_ctrl
-23.604213,71,2.883157,0.2387802,0.3489642,0.16268513,0.16982035,-0.0,1.0,0.07960889847218411,0.8948817549486598,-2.0540530569578905
-37.906373,110,4.381996,0.0006889413,0.36667955,0.16399404,0.1747342,-0.0,1.0,-0.606539983081909,-0.5056776896864473,-1.1015512346716283
15.667021,69,5.330931,0.23524833,0.2957019,0.15875506,0.0061198166,-0.0,1.0,1.2827959543291596,0.9593063734575447,-0.9117587463836341
-18.266695,43,5.903602,0.0032273466,0.1580164,0.15843087,7.946147e-05,-0.0,1.0,-1.1623400263858692,-0.9803961767382685,-1.185171196224351
3.50743,62,6.749458,0.00017095185,0.029223487,0.16107206,0.17486717,-0.0,1.0,-1.5384180247004773,-1.2107310148679273,-1.3278579616872204
3.716428,157,8.894532,0.15965399,0.24660236,0.16250873,0.0033056135,-0.0,1.0,-0.10596397737226937,0.8195050726271091,-2.0851230414601787
-56.83466,103,10.310033,0.01429861,0.3739134,0.16205882,0.0317079,-0.0,1.0,-0.3019630455065987,-0.33171037426035,-0.9845512816354813
-47.7611,122,11.996601,0.008494167,0.37486568,0.16353126,0.00010906283,-0.0,1.0,-0.022092457041092306,0.3378245362155972,-1.368411159914018
-74.314542,210,14.956394,0.0024280401,0.021051865,0.14414515,0.03216523,-0.0,1.0,0.9222428265281577,0.422066487922369,-0.5022517015354511
-135.818143,1000,28.545164,0.3699997,0.34535772,0.13758025,0.030483186,-0.0007415722698401841,1.0,-1.0135897187247584,-0.07142053510814428,-2.311427318091922
-694.897719,1000,62.380583,0.20090376,0.375,0.16327217,0.175,-0.004011139391298365,1.0,-0.6932708026642738,-4.875516657065759e-11,-1.8901634216308594
-939.163059,1000,94.045117,0.00037158612,0.375,0.16327377,0.175,-0.004157897809044029,1.0,-0.9398021561316227,-1.0143288986519394e-10,-1.9360158443450928
-820.640918,1000,125.845535,0.093179345,0.375,0.16327353,0.175,-0.004257538280347223,1.0,-0.81946728431467,3.2645608438741647e-10,-1.9083890914916992
-840.642338,1000,157.463577,0.072859,0.375,0.16327359,0.175,-0.004174818196060764,1.0,-0.8429998575264661,2.3515800418039134e-10,-1.9116840362548828
-523.278707,1000,189.909759,0.34863514,0.375,0.16327228,0.175,-0.0040262002100896,1.0,-0.5229674235577364,2.7372173971862424e-10,-1.8675763607025146
-543.133231,1000,220.546524,0.33406183,0.375,0.16327228,0.175,-0.004013834125445807,1.0,-0.5401550208078527,2.701838752727781e-10,-1.8702030181884766
-654.73261,1000,251.529719,0.2361639,0.375,0.1632722,0.175,-0.004011371135424318,1.0,-0.652963572535366,-3.9114489425173815e-10,-1.8851161003112793
-934.882506,1000,283.035351,0.0010730718,0.375,0.16327369,0.175,-0.004223683181867182,1.0,-0.9350279871805318,-1.1991492174234786e-09,-1.9318773746490479
-764.671399,1000,314.822781,0.14072758,0.375,0.16327211,0.175,-0.0039038511214370486,1.0,-0.7591364833834857,-1.0186185228633349e-10,-1.8959602117538452
-937.012371,1000,347.760141,0.0004821627,0.375,0.16327369,0.175,-0.004238898599676056,1.0,-0.9372682315068328,-1.0462151978085643e-11,-1.93351149559021
-52.519833,74,348.784309,7.500925e-07,0.116909,0.15550376,0.17172685,-0.003,1.0,-0.8356804418499811,-0.4052639504824862,-1.4274172414600057
-15.625805,20,349.058902,0.0069849067,0.36761057,0.16025302,0.00016776493,-0.003,1.0,-1.6387291161966022,-1.6440805355067234,-0.9986334874266402
-12.059855,14,349.24261,0.00011059872,0.2300838,0.16179185,0.014800117,-0.0,1.0,-1.335526781541719,-0.4688455711301942,-1.8667918091291082
-3.973497,16,349.461297,0.05360934,0.2662145,0.16330881,0.012158932,-0.0,1.0,0.2199986444698978,0.6309627419138655,-1.464573438826948
5.622084,12,349.624811,0.26629192,0.03956323,0.16253302,0.013220228,-0.0,1.0,0.47657163311403394,0.47310077400486705,-1.2628210572612248
-17.305911,42,350.197758,0.0697831,0.3739975,0.15691222,3.3519004e-07,-0.0,1.0,0.9380373324055011,0.9726401205531132,-1.1043858871432979
-267.9871,557,357.767746,0.0031472503,0.15122664,0.16334552,0.0016161163,-0.0,1.0,-0.7719660854951134,-0.7128161509519249,-1.0622971848173848
-24.602779,186,360.315456,4.814686e-05,0.37163994,0.16300592,0.0036843456,-0.0,1.0,-0.5651373504997101,-0.19152906998875174,-1.3736564273705847
-404.222283,1000,373.820638,0.00010862693,0.3147147,0.13723901,0.04682271,-0.001026888133041808,1.0,-1.207136207750977,-0.4878373300321748,-1.7183806165188305
17.938871,18,374.070602,0.35710862,0.37370956,0.16140683,5.2097344e-06,-0.0,1.0,2.0338302496099616,2.1080044412961163,-1.4312828144755376
-28.433424,105,375.535142,0.005043006,0.18645039,0.15846339,0.0674194,-0.0,1.0,0.3428069199593171,0.5712812876820861,-1.2335173737591996
9.533453,22,375.835548,0.3240474,0.32117537,0.1639056,0.00036058345,-0.0,1.0,2.414593601116049,1.6813318030339075,-0.5907855885641294
-184.243062,317,380.14734,0.0114659,0.060924646,0.1629577,0.08704714,-0.0,1.0,-0.4496067553827261,0.3754351505456466,-1.8365078055746549
-16.861254,23,380.464102,0.006565105,0.35148728,0.16076116,0.005632448,-0.0,1.0,-2.1090517105231337,-1.6058040411681263,-1.5098127745250192
-9.514443,42,381.049343,0.0067161284,0.31622246,0.16254084,0.035312917,-0.0,1.0,0.9823389847360825,0.719495518501338,-0.7438726622039668
10.457091,81,382.131079,0.2790966,0.01864692,0.15701872,0.1730328,-0.0,1.0,0.8413660569829673,0.985054780875716,-1.4227853272863034
-751.869844,1000,420.864626,0.08207706,0.37492117,0.1376208,0.17139962,-0.0010407443796594585,1.0,-0.6535251640846722,0.026067021206407914,-1.760628504531511
-764.452615,604,457.654938,8.952424e-05,0.2727773,0.16374244,0.11775397,-0.0,1.0,-1.3334124501047138,-0.3416898713686689,-1.9918121029770928
-684.149302,1000,518.295069,0.34373173,0.37410071,0.13760225,0.018770717,-0.0012453101864382773,1.0,0.6193376904335794,0.3776672051321617,-1.1008159356885203
-1326.433682,1000,578.590063,0.04851988,0.375,0.13760385,0.175,-0.001130476702551498,1.0,-1.3224018678944955,-3.480788679510738e-07,-2.36979092269262
