#{"t_start": 1621951831.888142, "env_id": "AntEnv-v0"}
r,l,t,reward_forward,reward_sideways,reward_height,reward_rotation,reward_contact,reward_survive,reward,forward_vel,reward_ctrl
-1.129403,14,1.623039,0.7943670813099923,-0.6492228247806731,1.0001564395727276,1.1445740231871218,-0.0,1.0,0.7773009997527642,0.7943670813099923,-1.017066081557228
-3.769377,44,2.224221,-1.666412632223333,-1.3253406673438461,1.0459354629372641,-3.3123992433060656,-0.0,1.0,-2.5666717217963475,-1.666412632223333,-1.9002590895730147
-483.634764,1000,16.670403,-0.005299756723280424,-0.05369855528464251,0.25967338605940393,-0.05933693236047349,-0.0012134858761331277,1.0,-0.37546899001723455,-0.005299756723280424,-1.368955747417821
-886.265517,655,39.762453,0.1317961231398268,-0.29630375880440707,1.0233711371857503,-0.361354916041855,-0.0,1.0,-1.4259674749696072,0.1317961231398268,-2.557763598109434
-50.232639,57,51.540623,-0.0663437679237,-0.9010235689585544,1.0035984656558232,2.072109063952887,-0.0,1.0,-0.6347989871924988,-0.0663437679237,-1.5684552192687988
-192.85347,212,56.818808,0.2739272672479043,0.20880704407584716,1.0622441786830719,1.1253605168978766,-0.0,1.0,-0.2269381921942344,0.2739272672479043,-1.5008654594421387
-97.891661,66,58.467624,-0.13214743528015882,-1.1912529837879093,1.0070290621630171,3.537578118839396,-0.0,1.0,-0.7105442324603346,-0.13214743528015882,-1.5783967971801758
-85.835152,102,60.985813,1.681480854116244,-2.386783014407312,1.0082641425875578,4.189727775832721,-0.0,1.0,1.2277161770685145,1.681480854116244,-1.4537646770477295
-17.347264,17,61.415062,-0.3801459642910524,0.20874863089784923,1.0183318017096084,-2.725959698044648,-0.0,1.0,-2.3243474337124392,-0.3801459642910524,-2.9442014694213867
-19.081907,28,62.131083,1.99651831154662,-2.18711054885965,1.0154515395259842,-1.6173038223755165,-0.0,1.0,0.8757900572283828,1.99651831154662,-2.1207282543182373
-43.250498,51,63.41414,1.3446784793580302,-0.08743244995037869,1.0245882826580186,-2.067152416413796,-0.0019521445323017017,1.0,0.21990309645292572,1.3446784793580302,-2.1228232383728027
-30.943984,25,64.050388,-0.7569880142622191,-0.17041201045494558,1.1065401171062548,1.3275173326234988,-0.0,1.0,-1.0482582703046996,-0.7569880142622191,-1.2912702560424805
-683.691771,1000,88.721961,-2.8326230250286244e-11,5.218048215738236e-12,0.25966399035249477,-1.2095642258828065e-10,-0.0008347416976347081,1.0,-0.5312285806084072,-2.8326230250286244e-11,-1.5303938388824463
-33.633234,27,89.422027,0.8770170711414887,-0.45628150649934973,1.023145171812521,2.44530472582279,-0.0,1.0,0.08408253420758982,0.8770170711414887,-1.792934536933899
-21.683609,31,90.539206,-1.005915344036994,0.4460922024953551,1.0098350781988719,0.8592726552383623,-0.003,1.0,-1.8591848714042936,-1.005915344036994,-1.8502695273672993
-35.721032,56,92.369232,-1.230731667250824,0.6702638554958895,1.057593425992247,-0.1684532923592279,-0.0,1.0,-2.2222683391495606,-1.230731667250824,-1.9915366718987366
-18.957404,12,92.739331,-0.6950982004091377,0.4824486721825394,1.0204353163361473,-2.865267505833361,-0.0,1.0,-1.6827850051542246,-0.6950982004091377,-1.987686804745087
-4.608521,10,93.072995,0.8101079106089526,-0.4326139781169991,1.0624678169960566,1.4941294603076256,-0.0,1.0,-0.5058154290829902,0.8101079106089526,-2.3159233396919428
-18.932538,23,93.948501,0.10516739400983965,-1.3891475318561153,1.0219146575132199,-0.8875005322638284,-0.0,1.0,-1.5190815403757707,0.10516739400983965,-2.6242489343856104
-4.551829,10,94.34327,1.0456793738229802,0.5037219873024673,1.0409046518244771,3.3533638777901333,-0.0,1.0,0.43763713420171313,1.0456793738229802,-1.608042239621267
-7.144272,12,94.733357,1.0509143709821733,-0.8985267124817531,1.045700805860208,-2.1509855091735117,-0.0,1.0,-0.8159773812006319,1.0509143709821733,-2.8668917521828052
-29.555018,18,95.405402,-0.36403986266589805,0.034013364552112346,1.0208265066469036,0.8228946860159818,-0.0,1.0,-2.1739695984253062,-0.36403986266589805,-2.8099297357594084
-95.338507,55,97.53734,-0.7476781423063716,1.5218829901158815,1.0537959671209842,-2.0492857183593154,-0.0,1.0,-2.1469105811175737,-0.7476781423063716,-2.399232438811202
