#{"t_start": 1622815980.1458743, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_motion,reward_torque,reward_velocity,reward_contact
-4.545303,16,2.987592,0.33340599730086373,1.0,-0.4438859914573957,-0.22270801124174056,-0.0
-241.448374,187,3.342276,-0.1399959808155018,1.0,-0.33046320725512085,-0.809532773560381,-0.0
-46.01808,110,3.550655,0.027067482174504942,1.0,-0.6893224875800139,-0.28361003024548115,-0.0
-58.823762,88,3.712178,-1.913622101330894,0.0,-0.6238371441322057,-1.2897849571986884,-0.0
-58.503349,70,3.845947,-0.9675282754923537,1.0,-0.5758964853178737,-1.39163179017448,-0.0
-86.723069,97,4.029278,-0.4641942993500404,1.0,-0.5186146841110443,-0.9455796152389961,-0.0
1.129399,120,4.255931,0.42398106739755215,1.0,-0.23279762494354705,-0.3432213076589008,-0.0
-31.880639,79,4.406248,-0.7757509781394445,0.0,-0.3680220311291817,-0.40772894701026274,-0.0
-59.49509,1024,7.320852,-0.34172725879520294,1.0,-0.509482366219262,-0.8106819760875046,-0.021562916488436338
-77.807928,122,7.555493,0.4060246573903107,1.0,-0.5423554458734187,-0.051619896736270654,-0.0
-25.070828,76,7.69584,0.3472746155605022,1.0,-0.5163962366773123,-0.13632914776218552,-0.0
-382.031554,1024,10.601812,0.3759464882230818,1.0,-0.42062764929349106,-0.19018858843574016,-0.01323727404768698
-36.299275,46,10.687315,0.4512835973945408,1.0,-0.2995512969569385,-0.24916510564852068,-0.0
-91.237878,124,11.875011,-2.193175991083277,0.0,-0.5239568597808165,-1.6692191313024605,-0.0
-183.34358,1024,14.787426,-0.021781335279523972,1.0,-0.5889826617292817,-0.43279867355024226,-0.0
-536.508935,1024,17.706239,-0.33444534076594556,1.0,-0.4951251098002817,-0.8224004195272622,-0.01691981143840172
-69.297511,84,17.86625,-1.8826101214859732,0.0,-0.2548743054481342,-1.627735816037839,-0.0
-139.793902,236,18.312244,-2.2213934263830875,0.0,-0.3843233232837748,-1.8370701030993128,-0.0
-34.488353,1024,21.271119,0.7692604586850225,1.0,-0.10465677344409069,-0.11142188372842421,-0.014660884142462733
-23.574648,38,21.346766,-0.36319267870000593,1.0,-0.46960096963502257,-0.8935917090649834,-0.0
-22.193805,67,21.471845,-0.8647639725069651,0.0,-0.4021950731411907,-0.4426113009249639,-0.01995759844081051
-591.780354,1024,24.391504,0.10774946344801961,1.0,-0.1621095090157674,-0.730141027536213,-0.0
-19.901756,21,24.431076,-0.6752494897814492,1.0,-0.7421778619092922,-0.9330716278721569,-0.0
-17.169801,1024,27.344278,-0.6709322384648945,0.0,-0.5642361196862015,-0.09990191933660597,-0.006794199442087041
-29.420153,81,27.499474,0.10092446397905408,1.0,-0.38708900456105805,-0.5119865314598879,-0.0
-75.72804,106,27.700588,-2.0288165840374166,0.0,-0.3721599898755887,-1.6566565941618279,-0.0
7.712406,30,27.757175,-0.054779340942310406,1.0,-0.7473839446516949,-0.3073953962906155,-0.0
-38.891686,188,28.113254,0.4295656548347393,1.0,-0.40194857678709206,-0.16848576837816864,-0.0
0.409839,28,28.165033,0.07839159552442232,1.0,-0.4726015859852898,-0.4490068184902879,-0.0
-113.541546,138,29.383863,-2.5811893048816232,0.0,-0.3968647993847424,-2.184324505496881,-0.0
-85.711774,139,29.645705,-0.12720191042557616,1.0,-0.4690350082945273,-0.6581669021310488,-0.0
-2.400721,16,29.67592,0.787610671426495,1.0,-0.1878126435983805,-0.024576684975124524,-0.0
-17.035344,79,29.826149,-0.701618203742117,1.0,-0.723845005548142,-0.977773198193975,-0.0
-51.110552,1024,32.742403,0.2539115021243085,1.0,-0.3143780969740861,-0.4182738917071349,-0.01343650919447042
-64.280882,1024,35.668784,0.185858761256275,1.0,-0.5742858430270389,-0.23043758100121092,-0.009417814715475165
-17.14995,30,35.724749,0.5553275332406243,1.0,-0.338835431254184,-0.10583703550519163,-0.0
59.289396,1024,38.684831,-0.31738405662068403,1.0,-0.5330042812585545,-0.7843797753621295,-0.0
-449.102678,1024,41.605978,-0.6681505429450808,1.0,-0.6150634649515816,-1.039316362090446,-0.013770715903053194
-72.627589,58,41.718111,0.051523963229809344,1.0,-0.7386010043056349,-0.20987503246455574,-0.0
-171.972075,1024,44.641703,-0.008958067346873481,1.0,-0.5616946316892169,-0.4370523379904583,-0.010211097667198347
-8.969881,45,44.729678,0.394574041136161,1.0,-0.45711045552626584,-0.14831550333757315,-0.0
0.62089,15,44.758259,-0.20394123523883378,1.0,-0.5208247969413138,-0.68311643829752,-0.0
-271.621911,1024,47.679585,-0.5030159487577306,1.0,-0.417205926646218,-1.0647397762439397,-0.021070245867572918
-244.309746,1024,50.5975,0.11338701001856827,1.0,-0.49577843057776416,-0.3617720262197155,-0.029062533183952074
-440.802419,878,53.229997,-0.09762382900586575,1.0,-0.48746056643048646,-0.6101632625753792,-0.0
-47.768598,64,53.352482,-0.2689216661914382,1.0,-0.1927527839428398,-1.0761688822485984,-0.0
-144.562012,1024,56.273907,0.5515592740196975,1.0,-0.28039906418844857,-0.16804166179185387,-0.0
1.620772,16,56.304376,-0.21264556205236773,1.0,-0.5713313386880032,-0.6413142233643645,-0.0
-27.098691,32,56.36359,0.7432981410787857,1.0,-0.2243445182465554,-0.032357340674658897,-0.0
-10.582998,22,56.409604,0.35944583530444996,1.0,-0.599739024834787,-0.04081513986076302,-0.0
-18.797513,89,56.574766,-1.010480118038625,1.0,-0.6472540826298433,-1.3632260354087817,-0.0
-375.816555,1024,59.50187,-0.03996169414475111,1.0,-0.508088784474963,-0.5218831920925311,-0.009989717577257052
-461.388232,1024,62.423967,-0.38223169769015275,1.0,-0.4488995540076673,-0.9333321436824855,-0.0
-11.749831,11,62.445129,-2.38215278844478,0.0,-0.14551495230199502,-2.236637836142785,-0.0
-103.327848,1024,65.373709,0.19707200254112123,1.0,-0.2119280115574658,-0.5828224827719997,-0.008177503129413335
-17.294992,32,65.438692,0.008013521386537603,1.0,-0.5615704938765869,-0.43041598473687553,-0.0
67.216082,1024,68.359735,0.5734427111736891,1.0,-0.3863513477851075,-0.02474339780364332,-0.01546254323756009
-4.987975,52,68.456752,-0.6789383444048879,1.0,-0.5349258714756396,-1.1440124729292482,-0.0
79.491508,1024,71.385382,0.10323234920666224,1.0,-0.41052856839892793,-0.4862390823944098,-0.0
-488.741027,1024,74.299381,-1.111785799639414,0.0,-0.18937929255143662,-0.9177382852620397,-0.004668221825937699
-0.101782,21,74.338957,0.3164758426834079,1.0,-0.23111968982298778,-0.4524044674936043,-0.0
-536.202902,1024,77.263404,-0.290618113071576,1.0,-0.33671631163426574,-0.9445303423734543,-0.0093714590638559
177.981015,1024,80.197787,0.2163962652526599,1.0,-0.4075959846288747,-0.36977697826500666,-0.006230771853458753
-427.664086,1024,83.125233,-0.2828592810834198,1.0,-0.26853717562734225,-1.0057078860369892,-0.008614219419088286
-24.470198,87,83.29188,-0.442767034261634,1.0,-0.6386286733831242,-0.8041383608785098,-0.0
-75.546488,1024,86.214095,0.0034963548789637144,1.0,-0.492760526963993,-0.5037431181570433,-0.0
3.557785,17,86.24626,0.42521734848139675,1.0,-0.12721835607527887,-0.4475642954433244,-0.0
10.53329,61,86.364655,0.4869842033611853,1.0,-0.13308555406995953,-0.3799302425688551,-0.0
-2.27432,44,86.446926,0.16007473387601787,1.0,-0.17087715738324857,-0.6578943374594424,-0.011153771281291172
-313.100394,1024,89.37736,-0.976640862474001,1.0,-0.27721893861280444,-1.6994219238611965,-0.0
-14.670486,50,89.475663,-0.1999123816698809,1.0,-0.35415726913276085,-0.8457551125371201,-0.0
-1.723894,21,89.514976,-0.13796876896104715,1.0,-0.6009930224629512,-0.536975746498096,-0.0
-24.324274,78,90.620096,-2.2133656053319677,0.0,-0.6705340231921091,-1.5428315821398586,-0.0
-8.210647,1024,93.533325,-1.031936743724469,0.0,-0.5329114240327457,-0.49902531969172337,-0.0
34.492591,576,94.640061,-0.5386074420511768,1.0,-0.29577860023380254,-1.2428288418173743,-0.0
-50.234345,1024,97.558818,0.15821942766942895,1.0,-0.4419476471210734,-0.39496272387758946,-0.004870201331908208
-94.773179,1024,100.483959,0.536706140591001,1.0,-0.05230887668738472,-0.4109849827216143,-0.0
148.828811,1024,103.413168,0.6184196936376134,1.0,-0.04706495130633347,-0.32950269083174,-0.0050126642243131635
-19.890438,47,103.499919,0.04900646126172514,1.0,-0.09970087880464852,-0.8512926599336264,-0.0
229.19085,1024,106.434886,-1.803321541044147,0.0,-0.5019494841415253,-1.3013720569026217,-0.0
-53.515786,140,106.703924,-0.17496996029656886,1.0,-0.4192298923516988,-0.75574006794487,-0.0
175.818327,1024,109.62367,0.2953714809575202,1.0,-0.17288136037970378,-0.5159954259964206,-0.015751732666355427
-17.026767,18,109.657957,-0.5445965533257021,1.0,-0.4690729670875172,-1.075523586238185,-0.0
127.718315,1024,112.588058,-0.3946866709830371,0.0,-0.03899373998416783,-0.34603191744579886,-0.009661013553070403
143.201196,1024,115.508356,0.7832685895762503,1.0,-0.057959000054351686,-0.15877241036939793,-0.0
192.667576,1024,118.453223,0.5685259055294756,1.0,-0.2555158209175066,-0.17155889526045875,-0.004399378292559143
17.87607,1024,121.373738,0.12529186314104354,1.0,-0.4158060749303255,-0.44660712076808196,-0.012294941160549007
-260.059623,1024,124.34834,-0.9811826258616713,0.0,-0.16725502939768377,-0.7696471283877018,-0.04428046807628572
-321.715488,1024,127.28189,-0.27285112721407073,1.0,-0.4240732408566582,-0.8397486210783627,-0.009029265279049853
227.137004,1024,130.206961,0.6577956877505997,1.0,-0.2674469496204686,-0.05075736262893171,-0.023999999999999997
-61.180678,1024,133.139028,-0.7537534861466301,0.0,-0.2278601500982019,-0.5204475441057657,-0.005445791942662479
-195.545937,1024,136.07008,0.17627213113482504,1.0,-0.17695170175901556,-0.6406205650216981,-0.0061556020844613655
152.355726,1024,139.009982,-0.05503165705429226,1.0,-0.016561364729918978,-0.9951632559589161,-0.0433070363654572
80.079444,1024,141.995728,-0.8102012314731297,0.0,-0.3657203473571422,-0.43391430007790344,-0.010566584038084114
11.019362,45,142.080917,0.775699847558873,1.0,-0.15148754016658067,-0.07281261227454622,-0.0
67.104838,1024,145.013034,0.44898807454945366,1.0,-0.0010429981337585082,-0.545485187634914,-0.004483739681873792
214.856398,1024,147.952929,0.3708803834072009,1.0,-0.3834755454614113,-0.2150734861237653,-0.03057058500762241
10.555883,63,148.071341,0.11856770185459742,1.0,-0.1324462385454126,-0.74898605959999,-0.0
299.890955,1024,151.013041,0.27205640562222233,1.0,-0.329086724382144,-0.39885686999563363,-0.0
-101.106723,1024,153.953741,-0.07288014109009704,1.0,-0.19309075218415256,-0.8713590475491735,-0.008430341356771055
